datetime,timestamp,line_error,duty_left,duty_right,enc_l,enc_r
2025-07-13T15:22:53.118499,287.948,-1227.0,101.75,161.75,0,0
2025-07-13T15:22:53.178676,287.955,350.0,96.97,36.97,0,0
2025-07-13T15:22:53.245663,287.963,-527.0,35.58,95.58,-1,0
2025-07-13T15:22:53.315817,287.973,-2639.0,138.83,198.83,0,0
2025-07-13T15:22:53.379341,287.983,-3345.0,46.18,106.18,0,0
2025-07-13T15:22:53.439106,287.993,-461.0,228.35,168.35,0,1
2025-07-13T15:22:53.511123,288.003,143.0,73.99,13.99,0,1
2025-07-13T15:22:53.573056,288.018,-2267.0,154.66,214.66,-1,1
2025-07-13T15:22:53.633088,288.025,-3426.0,80.7,140.7,0,1
2025-07-13T15:22:53.767622,288.033,0.0,255.0,203.27,0,2
2025-07-13T15:22:53.836257,288.163,-3500.0,2.0,58.0,-1,3
2025-07-13T15:22:53.899969,288.233,-3500.0,2.0,58.0,0,10
2025-07-13T15:22:53.972072,288.293,441.0,231.85,171.85,-1,16
2025-07-13T15:22:54.036075,288.373,1497.0,87.04,27.04,-1,16
2025-07-13T15:22:54.103783,288.433,0.0,155.0,215.0,0,15
2025-07-13T15:22:54.280427,288.503,-3500.0,2.0,58.0,0,21
2025-07-13T15:22:54.342279,288.683,1304.0,255.0,254.75,0,30
2025-07-13T15:22:54.404234,288.744,1215.0,61.13,1.13,-1,30
2025-07-13T15:22:54.466438,288.805,-3500.0,43.4,103.4,0,32
2025-07-13T15:22:54.545213,288.865,-1995.0,17.83,42.17,0,36
2025-07-13T15:22:54.606307,288.943,-902.0,23.09,36.91,0,39
2025-07-13T15:22:54.689976,289.009,-901.0,15.12,44.88,0,40
2025-07-13T15:22:54.759985,289.083,-900.0,22.94,37.06,0,40
2025-07-13T15:22:54.821671,289.153,-898.0,22.75,37.25,0,40
2025-07-13T15:22:54.996908,289.223,-878.0,23.4,36.6,0,40
2025-07-13T15:22:55.063242,289.393,-901.0,22.72,37.28,0,40
2025-07-13T15:22:55.131848,289.463,-900.0,22.8,37.2,0,40
2025-07-13T15:22:55.202618,289.533,-890.0,22.88,37.12,0,40
